DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2017,-20.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2018,-20.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2019,-19.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2020,-21.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2021,-10.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2022,-11.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2023,-10.4,bp,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovenia,2024,-9.2,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2008,7.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2009,3.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2010,2.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2011,1.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2012,5.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2013,3.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2014,4.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2015,5.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2016,3.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2017,7.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2018,8.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2019,8.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2020,8.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2021,7.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2022,6.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2023,7,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Slovakia,2024,5,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,Türkiye,2014,-14.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2007,8.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2008,2.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2009,4.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2010,4.4,b,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2011,4.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2012,7.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2013,4.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2014,7.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2015,7.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2016,3.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2017,8.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Transportation and storage,United Kingdom,2018,5.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Albania,2018,-1.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2010,9.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2014,7.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2015,6.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2016,5.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2017,5.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2018,5.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2019,8.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2020,7.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2021,10.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2022,8.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2023,7.8,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Austria,2024,7.2,p,
