id,country,eu_region,age_group,age_group_sort,year,gpg_pct,flag_code,flag_note
297,Croatia,Southern,65+,6_65+,2022,6.3,,
298,Croatia,Southern,65+,6_65+,2023,6.4,p,provisional
299,Croatia,Southern,65+,6_65+,2024,5.2,p,provisional
300,Cyprus,Southern,Under 25,1_Under 25,2008,11.4,,
301,Cyprus,Southern,Under 25,1_Under 25,2009,7.8,,
302,Cyprus,Southern,Under 25,1_Under 25,2010,6.2,,
303,Cyprus,Southern,Under 25,1_Under 25,2011,6.3,,
304,Cyprus,Southern,Under 25,1_Under 25,2012,5.1,,
305,Cyprus,Southern,Under 25,1_Under 25,2013,4.6,,
306,Cyprus,Southern,Under 25,1_Under 25,2014,5.4,,
307,Cyprus,Southern,Under 25,1_Under 25,2015,6.0,,
308,Cyprus,Southern,Under 25,1_Under 25,2016,8.4,,
309,Cyprus,Southern,Under 25,1_Under 25,2017,10.8,,
310,Cyprus,Southern,Under 25,1_Under 25,2018,13.3,,
311,Cyprus,Southern,Under 25,1_Under 25,2019,10.8,,
312,Cyprus,Southern,Under 25,1_Under 25,2020,10.8,,
313,Cyprus,Southern,Under 25,1_Under 25,2021,8.4,,
314,Cyprus,Southern,Under 25,1_Under 25,2022,4.7,,
315,Cyprus,Southern,Under 25,1_Under 25,2023,4.4,p,provisional
316,Cyprus,Southern,Under 25,1_Under 25,2024,4.4,p,provisional
317,Cyprus,Southern,25-34,2_25-34,2008,11.0,,
318,Cyprus,Southern,25-34,2_25-34,2009,9.4,,
319,Cyprus,Southern,25-34,2_25-34,2010,-0.6,,
320,Cyprus,Southern,25-34,2_25-34,2011,-0.7,,
321,Cyprus,Southern,25-34,2_25-34,2012,-0.8,,
322,Cyprus,Southern,25-34,2_25-34,2013,-0.9,,
323,Cyprus,Southern,25-34,2_25-34,2014,-0.9,,
324,Cyprus,Southern,25-34,2_25-34,2015,0.3,,
325,Cyprus,Southern,25-34,2_25-34,2016,1.6,,
326,Cyprus,Southern,25-34,2_25-34,2017,2.9,,
327,Cyprus,Southern,25-34,2_25-34,2018,4.2,,
328,Cyprus,Southern,25-34,2_25-34,2019,5.2,,
329,Cyprus,Southern,25-34,2_25-34,2020,5.8,,
330,Cyprus,Southern,25-34,2_25-34,2021,6.9,,
331,Cyprus,Southern,25-34,2_25-34,2022,8.2,,
332,Cyprus,Southern,25-34,2_25-34,2023,8.6,p,provisional
333,Cyprus,Southern,25-34,2_25-34,2024,8.3,p,provisional
334,Cyprus,Southern,35-44,3_35-44,2008,24.6,,
335,Cyprus,Southern,35-44,3_35-44,2009,23.6,,
336,Cyprus,Southern,35-44,3_35-44,2010,13.0,,
337,Cyprus,Southern,35-44,3_35-44,2011,12.3,,
338,Cyprus,Southern,35-44,3_35-44,2012,11.9,,
339,Cyprus,Southern,35-44,3_35-44,2013,11.4,,
340,Cyprus,Southern,35-44,3_35-44,2014,10.8,,
341,Cyprus,Southern,35-44,3_35-44,2015,9.4,,
342,Cyprus,Southern,35-44,3_35-44,2016,8.4,,
343,Cyprus,Southern,35-44,3_35-44,2017,7.6,,
344,Cyprus,Southern,35-44,3_35-44,2018,7.2,,
345,Cyprus,Southern,35-44,3_35-44,2019,6.3,,
346,Cyprus,Southern,35-44,3_35-44,2020,4.6,,
347,Cyprus,Southern,35-44,3_35-44,2021,5.3,,
348,Cyprus,Southern,35-44,3_35-44,2022,5.6,,
349,Cyprus,Southern,35-44,3_35-44,2023,5.8,p,provisional
350,Cyprus,Southern,35-44,3_35-44,2024,5.7,p,provisional
351,Cyprus,Southern,45-54,4_45-54,2008,37.4,,
352,Cyprus,Southern,45-54,4_45-54,2009,38.2,,
353,Cyprus,Southern,45-54,4_45-54,2010,29.0,,
354,Cyprus,Southern,45-54,4_45-54,2011,28.1,,
355,Cyprus,Southern,45-54,4_45-54,2012,27.3,,
356,Cyprus,Southern,45-54,4_45-54,2013,25.7,,
357,Cyprus,Southern,45-54,4_45-54,2014,25.1,,
358,Cyprus,Southern,45-54,4_45-54,2015,22.4,,
359,Cyprus,Southern,45-54,4_45-54,2016,20.1,,
360,Cyprus,Southern,45-54,4_45-54,2017,17.6,,
361,Cyprus,Southern,45-54,4_45-54,2018,15.1,,
362,Cyprus,Southern,45-54,4_45-54,2019,15.0,,
363,Cyprus,Southern,45-54,4_45-54,2020,13.1,,
364,Cyprus,Southern,45-54,4_45-54,2021,13.7,,
365,Cyprus,Southern,45-54,4_45-54,2022,14.6,,
366,Cyprus,Southern,45-54,4_45-54,2023,13.9,p,provisional
367,Cyprus,Southern,45-54,4_45-54,2024,13.8,p,provisional
368,Cyprus,Southern,55-64,5_55-64,2008,38.2,,
369,Cyprus,Southern,55-64,5_55-64,2009,37.3,,
370,Cyprus,Southern,55-64,5_55-64,2010,25.8,,
371,Cyprus,Southern,55-64,5_55-64,2011,26.4,,
372,Cyprus,Southern,55-64,5_55-64,2012,27.7,,
373,Cyprus,Southern,55-64,5_55-64,2013,28.9,,
374,Cyprus,Southern,55-64,5_55-64,2014,28.2,,
375,Cyprus,Southern,55-64,5_55-64,2015,23.8,,
376,Cyprus,Southern,55-64,5_55-64,2016,19.8,,
377,Cyprus,Southern,55-64,5_55-64,2017,14.4,,
378,Cyprus,Southern,55-64,5_55-64,2018,10.7,,
379,Cyprus,Southern,55-64,5_55-64,2019,14.2,,
380,Cyprus,Southern,55-64,5_55-64,2020,17.1,,
381,Cyprus,Southern,55-64,5_55-64,2021,21.7,,
382,Cyprus,Southern,55-64,5_55-64,2022,26.1,,
